Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
43,No,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,Male,59,2,4,Research Director,2,Divorced,"₹ 14,336","₹ 4,345",1,No,11,3,3,25,3,3,25,10,3,9
40,No,Travel_Rarely,555,Research & Development,2,3,Medical,2,Female,78,2,2,Laboratory Technician,3,Married,"₹ 3,448","₹ 13,436",6,No,22,4,2,20,3,3,1,0,0,0
54,No,Travel_Rarely,821,Research & Development,5,2,Medical,1,Male,86,3,5,Research Director,1,Married,"₹ 19,406","₹ 8,509",4,No,11,3,3,24,4,2,4,2,1,2
34,No,Non-Travel,1381,Sales,4,4,Marketing,3,Female,72,3,2,Sales Executive,3,Married,"₹ 6,538","₹ 12,740",9,No,15,3,1,6,3,3,3,2,1,2
31,No,Travel_Rarely,480,Research & Development,7,2,Medical,2,Female,31,3,2,Manufacturing Director,1,Married,"₹ 4,306","₹ 4,156",1,No,12,3,2,13,5,1,13,10,3,12
43,No,Travel_Frequently,313,Research & Development,21,3,Medical,4,Male,61,3,1,Laboratory Technician,4,Married,"₹ 2,258","₹ 15,238",7,No,20,4,1,8,1,3,3,2,1,2
43,No,Travel_Rarely,1473,Research & Development,8,4,Other,3,Female,74,3,2,Healthcare Representative,3,Divorced,"₹ 4,522","₹ 2,227",4,Yes,14,3,4,8,3,3,5,2,0,2
25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,2,Female,99,2,2,Sales Executive,4,Single,"₹ 4,487","₹ 12,090",1,Yes,11,3,2,5,3,3,5,4,1,3
37,No,Non-Travel,1063,Research & Development,25,5,Medical,2,Female,72,3,2,Research Scientist,3,Married,"₹ 4,449","₹ 23,866",3,Yes,15,3,1,15,2,3,13,11,10,7
31,No,Travel_Rarely,329,Research & Development,1,2,Life Sciences,4,Male,98,2,1,Laboratory Technician,1,Married,"₹ 2,218","₹ 16,193",1,No,12,3,3,4,3,3,4,2,3,2
39,No,Travel_Frequently,1218,Research & Development,1,1,Life Sciences,2,Male,52,3,5,Manager,3,Divorced,"₹ 19,197","₹ 8,213",1,Yes,14,3,3,21,3,3,21,8,1,6
56,No,Travel_Frequently,906,Sales,6,3,Life Sciences,3,Female,86,4,4,Sales Executive,1,Married,"₹ 13,212","₹ 18,256",9,No,11,3,4,36,0,2,7,7,7,7
30,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,2,Female,83,3,2,Sales Executive,3,Single,"₹ 6,577","₹ 19,558",0,No,11,3,2,6,6,3,5,4,4,4
41,No,Travel_Rarely,645,Sales,1,3,Marketing,2,Male,49,4,3,Sales Executive,1,Married,"₹ 8,392","₹ 19,566",1,No,16,3,3,10,2,3,10,7,0,7
28,No,Travel_Rarely,1300,Research & Development,17,2,Medical,3,Male,79,3,2,Laboratory Technician,1,Divorced,"₹ 4,558","₹ 13,535",1,No,12,3,4,10,2,3,10,0,1,8
25,Yes,Travel_Rarely,688,Research & Development,3,3,Medical,1,Male,91,3,1,Laboratory Technician,1,Married,"₹ 4,031","₹ 9,396",5,No,13,3,3,6,5,3,2,2,0,2
52,No,Travel_Rarely,319,Research & Development,3,3,Medical,4,Male,39,2,3,Manufacturing Director,3,Married,"₹ 7,969","₹ 19,609",2,Yes,14,3,3,28,4,3,5,4,0,4
45,No,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,Male,69,3,1,Research Scientist,4,Married,"₹ 2,654","₹ 9,655",3,No,21,4,4,8,3,2,2,2,0,2
52,No,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,4,Female,30,3,4,Manager,4,Married,"₹ 16,555","₹ 10,310",2,No,13,3,4,31,2,1,5,2,1,4
42,No,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,Female,92,3,2,Research Scientist,3,Divorced,"₹ 4,556","₹ 12,932",2,No,11,3,2,19,3,3,5,4,0,2
30,No,Travel_Rarely,317,Research & Development,2,3,Life Sciences,3,Female,43,1,2,Manufacturing Director,4,Single,"₹ 6,091","₹ 24,793",2,No,20,4,3,11,2,3,5,4,0,2
60,No,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,Female,41,3,5,Manager,1,Married,"₹ 19,566","₹ 3,854",5,No,11,3,4,33,5,1,29,8,11,10
46,No,Travel_Rarely,1485,Research & Development,18,3,Medical,3,Female,87,3,2,Manufacturing Director,3,Divorced,"₹ 4,810","₹ 26,314",2,No,14,3,3,19,5,2,10,7,0,8
42,No,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,4,Female,88,2,2,Healthcare Representative,4,Married,"₹ 4,523","₹ 4,386",0,No,11,3,4,7,4,4,6,5,0,4
24,Yes,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,Female,62,3,1,Sales Representative,2,Single,"₹ 3,202","₹ 21,972",1,Yes,16,3,2,6,4,3,5,3,1,4
34,Yes,Travel_Frequently,296,Sales,6,2,Marketing,4,Female,33,1,1,Sales Representative,3,Divorced,"₹ 2,351","₹ 12,253",0,No,16,3,4,3,3,2,2,2,1,0
38,No,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,4,Male,42,3,1,Laboratory Technician,4,Married,"₹ 1,702","₹ 12,106",1,Yes,23,4,3,1,3,3,1,0,0,0
40,No,Travel_Rarely,1398,Sales,2,4,Life Sciences,3,Female,79,3,5,Manager,3,Married,"₹ 18,041","₹ 13,022",0,No,14,3,4,21,2,3,20,15,1,12
26,No,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,Female,90,3,1,Research Scientist,4,Divorced,"₹ 2,886","₹ 3,032",1,No,22,4,2,3,3,1,3,2,0,2
30,No,Non-Travel,1400,Research & Development,3,3,Life Sciences,3,Male,53,3,1,Laboratory Technician,4,Married,"₹ 2,097","₹ 16,734",4,No,15,3,3,9,3,1,5,3,1,4
29,No,Travel_Rarely,986,Research & Development,3,4,Medical,2,Male,93,2,3,Research Director,3,Married,"₹ 11,935","₹ 21,526",1,No,18,3,3,10,2,3,10,2,0,7
29,Yes,Travel_Rarely,408,Research & Development,25,5,Technical Degree,3,Female,71,2,1,Research Scientist,2,Married,"₹ 2,546","₹ 18,300",5,No,16,3,2,6,2,4,2,2,1,1
19,Yes,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,Male,52,2,1,Human Resources,4,Single,"₹ 2,564","₹ 18,437",1,No,12,3,3,1,3,4,1,0,0,0
30,No,Non-Travel,1398,Sales,22,4,Other,3,Female,69,3,3,Sales Executive,1,Married,"₹ 8,412","₹ 2,890",0,No,11,3,3,10,3,3,9,8,7,8
57,No,Travel_Rarely,210,Sales,29,3,Marketing,1,Male,56,2,4,Manager,4,Divorced,"₹ 14,118","₹ 22,102",3,No,12,3,3,32,3,2,1,0,0,0
50,No,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,2,Male,88,2,4,Manager,3,Married,"₹ 17,046","₹ 9,314",0,No,15,3,2,28,2,3,27,10,15,7
30,No,Non-Travel,1116,Research & Development,2,3,Medical,3,Female,49,3,1,Laboratory Technician,4,Single,"₹ 2,564","₹ 7,181",0,No,14,3,3,12,2,2,11,7,6,7
60,No,Travel_Frequently,1499,Sales,28,3,Marketing,3,Female,80,2,3,Sales Executive,1,Married,"₹ 10,266","₹ 2,845",4,No,19,3,4,22,5,4,18,13,13,11
47,No,Travel_Rarely,983,Research & Development,2,2,Medical,1,Female,65,3,2,Manufacturing Director,4,Divorced,"₹ 5,070","₹ 7,389",5,No,13,3,3,20,2,3,5,0,0,4
46,No,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,Male,51,3,4,Research Director,3,Married,"₹ 17,861","₹ 2,288",6,No,13,3,3,26,2,1,3,2,0,1
35,No,Travel_Rarely,144,Research & Development,22,3,Life Sciences,4,Male,46,1,1,Laboratory Technician,3,Single,"₹ 4,230","₹ 19,225",0,No,15,3,3,6,2,3,5,4,4,3
54,No,Travel_Rarely,548,Research & Development,8,4,Life Sciences,3,Female,42,3,2,Laboratory Technician,3,Single,"₹ 3,780","₹ 23,428",7,No,11,3,3,19,3,3,1,0,0,0
34,No,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,4,Male,62,2,1,Research Scientist,3,Divorced,"₹ 2,768","₹ 8,416",3,No,12,3,3,14,3,3,7,3,5,7
46,No,Travel_Rarely,1125,Sales,10,3,Marketing,3,Female,94,2,3,Sales Executive,4,Married,"₹ 9,071","₹ 11,563",2,Yes,19,3,3,15,3,3,3,2,1,2
31,No,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,3,Male,33,3,3,Manufacturing Director,2,Divorced,"₹ 10,648","₹ 14,394",1,No,25,4,4,13,6,4,13,8,0,8
33,Yes,Travel_Rarely,1277,Research & Development,15,1,Medical,2,Male,56,3,3,Manager,3,Married,"₹ 13,610","₹ 24,619",7,Yes,12,3,4,15,2,4,7,6,7,7
33,Yes,Travel_Rarely,587,Research & Development,10,1,Medical,1,Male,38,1,1,Laboratory Technician,4,Divorced,"₹ 3,408","₹ 6,705",7,No,13,3,1,8,2,3,4,3,1,3
30,No,Travel_Rarely,413,Sales,7,1,Marketing,4,Male,57,3,1,Sales Representative,2,Single,"₹ 2,983","₹ 18,398",0,No,14,3,1,4,3,3,3,2,1,2
35,No,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,4,Male,72,3,3,Healthcare Representative,3,Married,"₹ 7,632","₹ 14,295",4,Yes,12,3,3,10,2,3,8,7,0,0
31,Yes,Travel_Frequently,534,Research & Development,20,3,Life Sciences,1,Male,66,3,3,Healthcare Representative,3,Married,"₹ 9,824","₹ 22,908",3,No,12,3,1,12,2,3,1,0,0,0
34,Yes,Travel_Frequently,988,Human Resources,23,3,Human Resources,2,Female,43,3,3,Human Resources,1,Divorced,"₹ 9,950","₹ 11,533",9,Yes,15,3,3,11,2,3,3,2,0,2
42,No,Travel_Frequently,1474,Research & Development,5,2,Other,2,Male,97,3,1,Laboratory Technician,3,Married,"₹ 2,093","₹ 9,260",4,No,17,3,4,8,4,3,2,2,2,0
36,No,Non-Travel,635,Sales,10,4,Medical,2,Male,32,3,3,Sales Executive,4,Single,"₹ 9,980","₹ 15,318",1,No,14,3,4,10,3,2,10,3,9,7
22,Yes,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,3,Male,99,2,1,Laboratory Technician,3,Single,"₹ 3,894","₹ 9,129",5,No,16,3,3,4,3,3,2,2,1,2
48,No,Travel_Rarely,163,Sales,2,5,Marketing,2,Female,37,3,2,Sales Executive,4,Married,"₹ 4,051","₹ 19,658",2,No,14,3,1,14,2,3,9,7,6,7
55,No,Travel_Rarely,1117,Sales,18,5,Life Sciences,1,Female,83,3,4,Manager,2,Single,"₹ 16,835","₹ 9,873",3,No,23,4,4,37,2,3,10,9,7,7
41,No,Non-Travel,267,Sales,10,2,Life Sciences,4,Male,56,3,2,Sales Executive,4,Single,"₹ 6,230","₹ 13,430",7,No,14,3,4,16,3,3,14,3,1,10
35,No,Travel_Rarely,619,Sales,1,3,Marketing,2,Male,85,3,2,Sales Executive,3,Married,"₹ 4,717","₹ 18,659",9,No,11,3,3,15,2,3,11,9,6,9
40,No,Travel_Rarely,302,Research & Development,6,3,Life Sciences,2,Female,75,3,4,Manufacturing Director,3,Single,"₹ 13,237","₹ 20,364",7,No,15,3,3,22,3,3,20,6,5,13
39,No,Travel_Frequently,443,Research & Development,8,1,Life Sciences,3,Female,48,3,1,Laboratory Technician,3,Married,"₹ 3,755","₹ 17,872",1,No,11,3,1,8,3,3,8,3,0,7
31,No,Travel_Rarely,828,Sales,2,1,Life Sciences,2,Male,77,3,2,Sales Executive,4,Single,"₹ 6,582","₹ 8,346",4,Yes,13,3,3,10,2,4,6,5,0,5
42,No,Travel_Rarely,319,Research & Development,24,3,Medical,4,Male,56,3,3,Manufacturing Director,1,Married,"₹ 7,406","₹ 6,950",1,Yes,21,4,4,10,5,2,10,9,5,8
45,No,Travel_Rarely,561,Sales,2,3,Other,4,Male,61,3,2,Sales Executive,2,Married,"₹ 4,805","₹ 16,177",0,No,19,3,2,9,3,4,8,7,3,7
26,Yes,Travel_Frequently,426,Human Resources,17,4,Life Sciences,2,Female,58,3,1,Human Resources,3,Divorced,"₹ 2,741","₹ 22,808",0,Yes,11,3,2,8,2,2,7,7,1,0
29,No,Travel_Rarely,232,Research & Development,19,3,Technical Degree,4,Male,34,3,2,Manufacturing Director,4,Divorced,"₹ 4,262","₹ 22,645",4,No,12,3,2,8,2,4,3,2,1,2
33,No,Travel_Rarely,922,Research & Development,1,5,Medical,1,Female,95,4,4,Research Director,3,Divorced,"₹ 16,184","₹ 22,578",4,No,19,3,3,10,2,3,6,1,0,5
31,No,Travel_Rarely,688,Sales,7,3,Life Sciences,3,Male,44,2,3,Manager,4,Divorced,"₹ 11,557","₹ 25,291",9,No,21,4,3,10,3,2,5,4,0,1
18,Yes,Travel_Frequently,1306,Sales,5,3,Marketing,2,Male,69,3,1,Sales Representative,2,Single,"₹ 1,878","₹ 8,059",1,Yes,14,3,4,0,3,3,0,0,0,0
40,No,Non-Travel,1094,Sales,28,3,Other,3,Male,58,1,3,Sales Executive,1,Divorced,"₹ 10,932","₹ 11,373",3,No,15,3,3,20,2,3,1,0,0,1
41,No,Non-Travel,509,Research & Development,2,4,Other,1,Female,62,2,2,Healthcare Representative,3,Single,"₹ 6,811","₹ 2,112",2,Yes,17,3,1,10,3,3,8,7,0,7
26,No,Travel_Rarely,775,Sales,29,2,Medical,1,Male,45,3,2,Sales Executive,3,Divorced,"₹ 4,306","₹ 4,267",5,No,12,3,1,8,5,3,0,0,0,0
35,No,Travel_Rarely,195,Sales,1,3,Medical,1,Female,80,3,2,Sales Executive,3,Single,"₹ 4,859","₹ 6,698",1,No,16,3,4,5,3,3,5,4,0,3
34,No,Travel_Rarely,258,Sales,21,4,Life Sciences,4,Male,74,4,2,Sales Executive,4,Single,"₹ 5,337","₹ 19,921",1,No,12,3,4,10,3,3,10,7,5,7
26,Yes,Travel_Rarely,471,Research & Development,24,3,Technical Degree,3,Male,66,1,1,Laboratory Technician,4,Single,"₹ 2,340","₹ 23,213",1,Yes,18,3,2,1,3,1,1,0,0,0
37,No,Travel_Rarely,799,Research & Development,1,3,Technical Degree,2,Female,59,3,3,Manufacturing Director,4,Single,"₹ 7,491","₹ 23,848",4,No,17,3,4,12,3,4,6,5,1,2
46,No,Travel_Frequently,1034,Research & Development,18,1,Medical,1,Female,86,3,3,Healthcare Representative,3,Married,"₹ 10,527","₹ 8,984",5,No,11,3,4,28,3,2,2,2,1,2
41,No,Travel_Rarely,1276,Sales,2,5,Life Sciences,2,Female,91,3,4,Manager,1,Married,"₹ 16,595","₹ 5,626",7,No,16,3,2,22,2,3,18,16,11,8
37,No,Non-Travel,142,Sales,9,4,Medical,1,Male,69,3,3,Sales Executive,2,Divorced,"₹ 8,834","₹ 24,666",1,No,13,3,4,9,6,3,9,5,7,7
52,No,Travel_Rarely,956,Research & Development,6,2,Technical Degree,4,Male,78,3,2,Research Scientist,1,Divorced,"₹ 5,577","₹ 22,087",3,Yes,12,3,2,18,3,3,10,9,6,9
32,Yes,Non-Travel,1474,Sales,11,4,Other,4,Male,60,4,2,Sales Executive,3,Married,"₹ 4,707","₹ 23,914",8,No,12,3,4,6,2,3,4,2,1,2
24,No,Travel_Frequently,535,Sales,24,3,Medical,4,Male,38,3,1,Sales Representative,4,Married,"₹ 2,400","₹ 5,530",0,No,13,3,3,3,3,3,2,2,2,1
38,No,Travel_Rarely,1495,Research & Development,10,3,Medical,3,Female,76,3,2,Healthcare Representative,3,Married,"₹ 9,824","₹ 22,174",3,No,19,3,3,18,4,3,1,0,0,0
37,No,Travel_Rarely,446,Research & Development,1,4,Life Sciences,2,Female,65,3,2,Manufacturing Director,2,Married,"₹ 6,447","₹ 15,701",6,No,12,3,2,8,2,2,6,5,4,3
49,No,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,4,Male,58,2,5,Research Director,3,Divorced,"₹ 19,502","₹ 2,125",1,Yes,17,3,3,31,5,3,31,9,0,9
24,No,Travel_Rarely,691,Research & Development,23,3,Medical,2,Male,89,4,1,Research Scientist,4,Married,"₹ 2,725","₹ 21,630",1,Yes,11,3,2,6,3,3,6,5,1,4
26,No,Travel_Rarely,703,Sales,28,2,Marketing,1,Male,66,3,2,Sales Executive,2,Married,"₹ 6,272","₹ 7,428",1,No,20,4,4,6,5,4,5,3,1,4
24,No,Travel_Rarely,823,Research & Development,17,2,Other,4,Male,94,2,1,Laboratory Technician,2,Married,"₹ 2,127","₹ 9,100",1,No,21,4,4,1,2,3,1,0,0,0
50,No,Travel_Frequently,1246,Human Resources,3,3,Medical,1,Male,99,3,5,Manager,2,Married,"₹ 18,200","₹ 7,999",1,No,11,3,3,32,2,3,32,5,10,7
25,No,Travel_Rarely,622,Sales,13,1,Medical,2,Male,40,3,1,Sales Representative,3,Married,"₹ 2,096","₹ 26,376",1,No,11,3,3,7,1,3,7,4,0,6
24,Yes,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,Female,55,3,1,Laboratory Technician,3,Married,"₹ 2,886","₹ 14,168",1,Yes,16,3,4,6,4,3,6,3,1,2
30,Yes,Travel_Frequently,448,Sales,12,4,Life Sciences,2,Male,74,2,1,Sales Representative,1,Married,"₹ 2,033","₹ 14,470",1,No,18,3,3,1,2,4,1,0,0,0
34,No,Travel_Rarely,254,Research & Development,1,2,Life Sciences,2,Male,83,2,1,Research Scientist,4,Married,"₹ 3,622","₹ 22,794",1,Yes,13,3,4,6,3,3,6,5,1,3
31,Yes,Travel_Rarely,1365,Sales,13,4,Medical,2,Male,46,3,2,Sales Executive,1,Divorced,"₹ 4,233","₹ 11,512",2,No,17,3,3,9,2,1,3,1,1,2
35,No,Travel_Rarely,538,Research & Development,25,2,Other,1,Male,54,2,2,Laboratory Technician,4,Single,"₹ 3,681","₹ 14,004",4,No,14,3,4,9,3,3,3,2,0,2
31,No,Travel_Rarely,525,Sales,6,4,Medical,1,Male,66,4,2,Sales Executive,4,Divorced,"₹ 5,460","₹ 6,219",4,No,22,4,4,13,4,4,7,7,5,7
27,No,Travel_Rarely,798,Research & Development,6,4,Medical,1,Female,66,2,1,Research Scientist,3,Divorced,"₹ 2,187","₹ 5,013",0,No,12,3,3,6,5,2,5,3,0,3
37,No,Travel_Rarely,558,Sales,2,3,Marketing,4,Male,75,3,2,Sales Executive,3,Married,"₹ 9,602","₹ 3,010",4,Yes,11,3,3,17,3,2,3,0,1,0
20,No,Travel_Rarely,959,Research & Development,1,3,Life Sciences,4,Female,83,2,1,Research Scientist,2,Single,"₹ 2,836","₹ 11,757",1,No,13,3,4,1,0,4,1,0,0,0
42,No,Travel_Rarely,622,Research & Development,2,4,Life Sciences,3,Female,81,3,2,Healthcare Representative,4,Married,"₹ 4,089","₹ 5,718",1,No,13,3,2,10,4,3,10,2,2,2
43,No,Travel_Rarely,782,Research & Development,6,4,Other,2,Male,50,2,4,Research Director,4,Divorced,"₹ 16,627","₹ 2,671",4,Yes,14,3,3,21,3,2,1,0,0,0
38,No,Travel_Rarely,362,Research & Development,1,1,Life Sciences,3,Female,43,3,1,Research Scientist,1,Single,"₹ 2,619","₹ 14,561",3,No,17,3,4,8,3,2,0,0,0,0
43,No,Travel_Frequently,1001,Research & Development,9,5,Medical,4,Male,72,3,2,Laboratory Technician,3,Divorced,"₹ 5,679","₹ 19,627",3,Yes,13,3,2,10,3,3,8,7,4,7
48,No,Travel_Rarely,1236,Research & Development,1,4,Life Sciences,4,Female,40,2,4,Manager,1,Married,"₹ 15,402","₹ 17,997",7,No,11,3,1,21,3,1,3,2,0,2
44,No,Travel_Rarely,1112,Human Resources,1,4,Life Sciences,1,Female,50,2,2,Human Resources,3,Single,"₹ 5,985","₹ 26,894",4,No,11,3,2,10,1,4,2,2,0,2
34,No,Travel_Rarely,204,Sales,14,3,Technical Degree,3,Female,31,3,1,Sales Representative,3,Divorced,"₹ 2,579","₹ 2,912",1,Yes,18,3,4,8,3,3,8,2,0,6
27,Yes,Travel_Rarely,1420,Sales,2,1,Marketing,3,Male,85,3,1,Sales Representative,1,Divorced,"₹ 3,041","₹ 16,346",0,No,11,3,2,5,3,3,4,3,0,2
21,No,Travel_Rarely,1343,Sales,22,1,Technical Degree,3,Male,49,3,1,Sales Representative,3,Single,"₹ 3,447","₹ 24,444",1,No,11,3,3,3,2,3,3,2,1,2
44,No,Travel_Rarely,1315,Research & Development,3,4,Other,4,Male,35,3,5,Manager,4,Married,"₹ 19,513","₹ 9,358",4,Yes,12,3,1,26,2,4,2,2,0,1
22,No,Travel_Rarely,604,Research & Development,6,1,Medical,1,Male,69,3,1,Research Scientist,3,Married,"₹ 2,773","₹ 12,145",0,No,20,4,4,3,3,3,2,2,2,2
33,No,Travel_Rarely,1216,Sales,8,4,Marketing,3,Male,39,3,2,Sales Executive,3,Divorced,"₹ 7,104","₹ 20,431",0,No,12,3,4,6,3,3,5,0,1,2
32,No,Travel_Rarely,646,Research & Development,9,4,Life Sciences,1,Female,92,3,2,Research Scientist,4,Married,"₹ 6,322","₹ 18,089",1,Yes,12,3,4,6,2,2,6,4,0,5
30,No,Travel_Frequently,160,Research & Development,3,3,Medical,3,Female,71,3,1,Research Scientist,3,Divorced,"₹ 2,083","₹ 22,653",1,No,20,4,3,1,2,3,1,0,0,0
53,No,Travel_Rarely,238,Sales,1,1,Medical,4,Female,34,3,2,Sales Executive,1,Single,"₹ 8,381","₹ 7,507",7,No,20,4,4,18,2,4,14,7,8,10
34,No,Travel_Rarely,1397,Research & Development,1,5,Life Sciences,2,Male,42,3,1,Research Scientist,4,Married,"₹ 2,691","₹ 7,660",1,No,12,3,4,10,4,2,10,9,8,8
45,Yes,Travel_Frequently,306,Sales,26,4,Life Sciences,1,Female,100,3,2,Sales Executive,1,Married,"₹ 4,286","₹ 5,630",2,No,14,3,4,5,4,3,1,1,0,0
26,No,Travel_Rarely,991,Research & Development,6,3,Life Sciences,3,Female,71,3,1,Laboratory Technician,4,Married,"₹ 2,659","₹ 17,759",1,Yes,13,3,3,3,2,3,3,2,0,2
37,No,Travel_Rarely,482,Research & Development,3,3,Other,3,Male,36,3,3,Manufacturing Director,3,Married,"₹ 9,434","₹ 9,606",1,No,15,3,3,10,2,3,10,7,7,8
29,No,Travel_Rarely,1176,Sales,3,2,Medical,2,Female,62,3,2,Sales Executive,3,Married,"₹ 5,561","₹ 3,487",1,No,14,3,1,6,5,2,6,0,1,2
35,No,Travel_Rarely,1017,Research & Development,6,4,Life Sciences,2,Male,82,1,2,Research Scientist,4,Single,"₹ 6,646","₹ 19,368",1,No,13,3,2,17,3,3,17,11,11,8
33,No,Travel_Frequently,1296,Research & Development,6,3,Life Sciences,3,Male,30,3,2,Healthcare Representative,4,Divorced,"₹ 7,725","₹ 5,335",3,No,23,4,3,15,2,1,13,11,4,7
54,No,Travel_Rarely,397,Human Resources,19,4,Medical,3,Male,88,3,3,Human Resources,2,Married,"₹ 10,725","₹ 6,729",2,No,15,3,3,16,1,4,9,7,7,1
36,No,Travel_Rarely,913,Research & Development,9,2,Medical,2,Male,48,2,2,Manufacturing Director,2,Divorced,"₹ 8,847","₹ 13,934",2,Yes,11,3,3,13,2,3,3,2,0,2
27,No,Travel_Rarely,1115,Research & Development,3,4,Medical,1,Male,54,2,1,Research Scientist,4,Single,"₹ 2,045","₹ 15,174",0,No,13,3,4,5,0,3,4,2,1,1
20,Yes,Travel_Rarely,1362,Research & Development,10,1,Medical,4,Male,32,3,1,Research Scientist,3,Single,"₹ 1,009","₹ 26,999",1,Yes,11,3,4,1,5,3,1,0,1,1
33,Yes,Travel_Frequently,1076,Research & Development,3,3,Life Sciences,1,Male,70,3,1,Research Scientist,1,Single,"₹ 3,348","₹ 3,164",1,Yes,11,3,1,10,3,3,10,8,9,7
35,No,Non-Travel,727,Research & Development,3,3,Life Sciences,3,Male,41,2,1,Laboratory Technician,3,Married,"₹ 1,281","₹ 16,900",1,No,18,3,3,1,3,3,1,0,0,0
23,No,Travel_Rarely,885,Research & Development,4,3,Medical,1,Male,58,4,1,Research Scientist,1,Married,"₹ 2,819","₹ 8,544",2,No,16,3,1,5,3,4,3,2,0,2
25,No,Travel_Rarely,810,Sales,8,3,Life Sciences,4,Male,57,4,2,Sales Executive,2,Married,"₹ 4,851","₹ 15,678",0,No,22,4,3,4,4,3,3,2,1,2
38,No,Travel_Rarely,243,Sales,7,4,Marketing,4,Female,46,2,2,Sales Executive,4,Single,"₹ 4,028","₹ 7,791",0,No,20,4,1,8,2,3,7,7,0,5
29,No,Travel_Frequently,806,Research & Development,1,4,Life Sciences,2,Male,76,1,1,Research Scientist,4,Divorced,"₹ 2,720","₹ 18,959",1,No,18,3,4,10,5,3,10,7,2,8
48,No,Travel_Rarely,817,Sales,2,1,Marketing,2,Male,56,4,2,Sales Executive,2,Married,"₹ 8,120","₹ 18,597",3,No,12,3,4,12,3,3,2,2,2,2
27,No,Travel_Frequently,1410,Sales,3,1,Medical,4,Female,71,4,2,Sales Executive,4,Divorced,"₹ 4,647","₹ 16,673",1,Yes,20,4,2,6,3,3,6,5,0,4
37,No,Travel_Rarely,1225,Research & Development,10,2,Life Sciences,4,Male,80,4,1,Research Scientist,4,Single,"₹ 4,680","₹ 15,232",3,No,17,3,1,4,2,3,1,0,0,0
50,No,Travel_Rarely,1207,Research & Development,28,1,Medical,4,Male,74,4,1,Laboratory Technician,3,Married,"₹ 3,221","₹ 3,297",1,Yes,11,3,3,20,3,3,20,8,3,8
34,No,Travel_Rarely,1442,Research & Development,9,3,Medical,4,Female,46,2,3,Healthcare Representative,2,Single,"₹ 8,621","₹ 17,654",1,No,14,3,2,9,3,4,8,7,7,7
24,Yes,Travel_Rarely,693,Sales,3,2,Life Sciences,1,Female,65,3,2,Sales Executive,3,Single,"₹ 4,577","₹ 24,785",9,No,14,3,1,4,3,3,2,2,2,0
39,No,Travel_Rarely,408,Research & Development,2,4,Technical Degree,4,Female,80,2,2,Healthcare Representative,3,Single,"₹ 4,553","₹ 20,978",1,No,11,3,1,20,4,3,20,7,11,10
32,No,Travel_Rarely,929,Sales,10,3,Marketing,4,Male,55,3,2,Sales Executive,4,Single,"₹ 5,396","₹ 21,703",1,No,12,3,4,10,2,2,10,7,0,8
50,Yes,Travel_Frequently,562,Sales,8,2,Technical Degree,2,Male,50,3,2,Sales Executive,3,Married,"₹ 6,796","₹ 23,452",3,Yes,14,3,1,18,4,3,4,3,1,3
38,No,Travel_Rarely,827,Research & Development,1,4,Life Sciences,2,Female,33,4,2,Healthcare Representative,4,Single,"₹ 7,625","₹ 19,383",0,No,13,3,3,10,4,2,9,7,1,8
27,No,Travel_Rarely,608,Research & Development,1,2,Life Sciences,3,Female,68,3,3,Manufacturing Director,1,Married,"₹ 7,412","₹ 6,009",1,No,11,3,4,9,3,3,9,7,0,7
32,No,Travel_Rarely,1018,Research & Development,3,2,Life Sciences,3,Female,39,3,3,Research Director,4,Single,"₹ 11,159","₹ 19,373",3,No,15,3,4,10,6,3,7,7,7,7
47,No,Travel_Rarely,703,Sales,14,4,Marketing,4,Male,42,3,2,Sales Executive,1,Single,"₹ 4,960","₹ 11,825",2,No,12,3,4,20,2,3,7,7,1,7
